                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.91102,                  1.198,                 1.0607,                0.59787,                0.59146,                0.69897,                0.53959,                0.76383,                 1.8947,                0.99338,               0.008911,               0.008911,               0.008911
                     35,                0.88716,                 1.1789,                 1.0038,                0.69539,                0.70923,                0.75601,                0.60826,                0.73186,                 1.2448,                0.95759,               0.008878,               0.008878,               0.008878
                     36,                 0.9107,                 1.0627,                0.98521,                0.69539,                0.70923,                0.75601,                0.60826,                0.73186,                 1.2448,                0.95759,               0.008845,               0.008845,               0.008845
                     37,                0.87475,                 1.0704,                 1.0154,                0.70595,                0.58893,                0.67194,                0.52949,                0.80107,                 1.5231,                 1.0253,               0.008812,               0.008812,               0.008812
                     38,                0.83307,                 1.0692,                0.98572,                0.63139,                0.66252,                0.65618,                0.51829,                 0.8131,                 1.6258,                 1.0141,               0.008779,               0.008779,               0.008779
                     39,                0.98022,                 1.1796,                  1.019,                0.59134,                0.57356,                0.57905,                0.44048,                0.87005,                 1.8613,                 1.0519,               0.008746,               0.008746,               0.008746
                     40,                0.90444,                 1.2293,                 1.0242,                0.59134,                0.57356,                0.57905,                0.44048,                0.87005,                 1.8613,                 1.0519,               0.008713,               0.008713,               0.008713
                     41,                0.86089,                 1.0794,                0.99971,                0.51348,                0.63039,                0.59081,                0.46519,                0.82066,                 1.5274,                 1.0192,                0.00868,                0.00868,                0.00868
                     42,                0.90037,                 1.1959,                 1.0282,                0.56014,                0.56237,                0.56672,                0.43478,                0.83872,                 1.9291,                  1.065,               0.008647,               0.008647,               0.008647
                     43,                0.85919,                 1.2028,                 1.0149,                0.47561,                0.57941,                0.58608,                0.43945,                 0.8132,                 1.7064,                 1.0126,               0.008614,               0.008614,               0.008614
                     44,                0.93909,                 1.1344,                 1.0118,                0.47561,                0.57941,                0.58608,                0.43945,                 0.8132,                 1.7064,                 1.0126,               0.008581,               0.008581,               0.008581
                     45,                0.88453,                 1.1917,                 1.0305,                0.41741,                0.53435,                0.52052,                0.37254,                0.86105,                  1.999,                 1.0734,               0.008548,               0.008548,               0.008548
                     46,                0.87223,                 1.1031,                 1.0169,                0.43545,                0.43969,                0.44079,                0.28559,                 1.0552,                 2.0461,                 1.2116,               0.008515,               0.008515,               0.008515
                     47,                0.86759,                 1.0891,                0.99316,                0.76311,                0.47699,                0.53193,                0.39865,                0.85873,                 1.6208,                 1.0521,               0.008482,               0.008482,               0.008482
                     48,                 0.8979,                 1.0458,                 1.0036,                0.76311,                0.47699,                0.53193,                0.39865,                0.85873,                 1.6208,                 1.0521,               0.008449,               0.008449,               0.008449
                     49,                0.87633,                 1.0651,                  1.022,                0.39757,                0.57082,                0.55256,                0.40563,                0.89883,                 1.7246,                 1.0658,               0.008416,               0.008416,               0.008416
                     50,                0.80911,                  1.012,                0.97935,                0.40018,                0.52752,                0.49158,                0.35756,                 1.0474,                 1.9823,                 1.1724,               0.008383,               0.008383,               0.008383
                     51,                0.86895,                 1.1401,                 1.0348,                0.60549,                0.29249,                0.41254,                0.27568,                 1.2476,                  2.538,                 1.3338,                0.00835,                0.00835,                0.00835
                     52,                0.79639,                 1.0208,                0.97943,                0.60549,                0.29249,                0.41254,                0.27568,                 1.2476,                  2.538,                 1.3338,               0.008317,               0.008317,               0.008317
                     53,                0.84237,                 1.0792,                 1.0214,                0.52632,                0.25001,                0.42599,                0.28918,                 1.3474,                  2.578,                 1.4066,               0.008284,               0.008284,               0.008284
                     54,                0.85693,                 1.0083,                0.99835,                0.59946,                0.43075,                0.51313,                0.35993,                 1.2203,                 1.9716,                 1.3335,               0.008251,               0.008251,               0.008251
                     55,                0.86352,                 1.0408,                0.99754,                0.45669,                0.36899,                0.46923,                0.34852,                 1.2123,                 2.0651,                 1.3407,               0.008218,               0.008218,               0.008218
                     56,                0.90454,                 1.0589,                 1.0143,                0.45669,                0.36899,                0.46923,                0.34852,                 1.2123,                 2.0651,                 1.3407,               0.008185,               0.008185,               0.008185
                     57,                 0.8739,                 1.0626,                0.99317,                0.38167,                0.40075,                0.43659,                0.30252,                 1.3088,                 2.2093,                 1.4092,               0.008152,               0.008152,               0.008152
                     58,                0.87336,                 1.0572,                 1.0109,                0.52288,                 0.3607,                 0.4591,                0.33946,                 1.1289,                 2.2549,                 1.2937,               0.008119,               0.008119,               0.008119
                     59,                0.81946,                 1.0531,                0.98628,                0.69342,                0.39288,                0.50827,                0.39496,                0.97585,                 1.9997,                 1.1844,               0.008086,               0.008086,               0.008086
                     60,                0.85044,                0.96792,                0.96583,                0.69342,                0.39288,                0.50827,                0.39496,                0.97585,                 1.9997,                 1.1844,               0.008053,               0.008053,               0.008053
                     61,                0.85309,                0.98426,                 0.9943,                0.66277,                0.56046,                0.65468,                  0.527,                0.72038,                 1.1777,                0.98563,                0.00802,                0.00802,                0.00802
                     62,                0.85611,                0.98275,                0.99051,                0.70966,                0.71068,                0.76592,                0.61102,                    0.7,                 1.0042,                0.95215,               0.007987,               0.007987,               0.007987
                     63,                0.88866,                  1.022,                 1.0089,                0.75137,                0.82972,                0.85196,                0.68265,                0.69536,                0.92049,                0.93102,               0.007954,               0.007954,               0.007954
                     64,                0.83411,                0.95026,                0.98567,                0.75137,                0.82972,                0.85196,                0.68265,                0.69536,                0.92049,                0.93102,               0.007921,               0.007921,               0.007921
                     65,                0.78751,                0.88874,                0.96737,                0.72248,                0.83795,                0.84595,                0.67712,                0.67978,                0.91751,                0.92867,               0.007888,               0.007888,               0.007888
                     66,                0.76667,                0.91989,                0.94814,                0.84997,                0.78622,                0.91061,                0.75386,                0.62598,                0.81093,                0.90492,               0.007855,               0.007855,               0.007855
                     67,                0.81902,                0.95269,                0.98419,                0.77879,                0.86537,                0.87384,                 0.7039,                0.66671,                0.85953,                0.91707,               0.007822,               0.007822,               0.007822
                     68,                0.86816,                0.97956,                 1.0221,                0.77879,                0.86537,                0.87384,                 0.7039,                0.66671,                0.85953,                0.91707,               0.007789,               0.007789,               0.007789
                     69,                0.77742,                0.90356,                0.98376,                0.78139,                0.86689,                0.85251,                0.69152,                0.63916,                0.94638,                0.90905,               0.007756,               0.007756,               0.007756
                     70,                0.82272,                0.97256,                0.98292,                0.77333,                0.87025,                0.85778,                0.68639,                0.65974,                0.84456,                0.91284,               0.007723,               0.007723,               0.007723
                     71,                0.76259,                0.86984,                0.97497,                0.88194,                0.86367,                0.89098,                0.72594,                0.65139,                0.82323,                0.89971,                0.00769,                0.00769,                0.00769
                     72,                0.76333,                0.87594,                0.96358,                0.88194,                0.86367,                0.89098,                0.72594,                0.65139,                0.82323,                0.89971,               0.007657,               0.007657,               0.007657
                     73,                0.82157,                 0.9118,                0.98202,                0.86873,                0.89553,                0.93923,                0.77117,                0.62012,                0.79446,                 0.8917,               0.007624,               0.007624,               0.007624
                     74,                0.76608,                0.88086,                0.95174,                 0.9097,                0.92785,                0.95918,                  0.765,                0.68076,                0.75182,                0.91439,               0.007591,               0.007591,               0.007591
                     75,                0.79579,                0.89425,                0.94978,                0.89966,                0.95465,                 0.9683,                0.80231,                0.62853,                0.72067,                0.90019,               0.007558,               0.007558,               0.007558
                     76,                0.84657,                0.92032,                0.97521,                0.89966,                0.95465,                 0.9683,                0.80231,                0.62853,                0.72067,                0.90019,               0.007525,               0.007525,               0.007525
