                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.12184,                 1.0646,                0.84947,                0.95335,                0.94248,                 0.9886,                 0.9886,                0.06663,                0.26299,                0.75992,               0.070007,              0.0033326,              0.0033326
                      1,                0.15079,                0.60984,                 0.8493,                0.98417,                0.98154,                0.99393,                0.99393,                0.04195,                0.11876,                 0.7548,               0.039941,              0.0065999,              0.0065999
                      2,                0.14703,                0.58594,                0.84708,                0.98511,                0.98482,                0.99413,                0.99413,                0.04018,                0.10353,                0.75174,              0.0098089,              0.0098013,              0.0098013
                      3,                0.11878,                0.54962,                0.84254,                0.98961,                0.98691,                0.99447,                0.99447,                0.03224,                0.08142,                0.75073,               0.009703,               0.009703,               0.009703
